keyword,search_volume
roofing boots,8100.0
logger boots,6600.0
farm boots,3600.0
welding boots,2900.0
concrete boots,2400.0
electrician boots,1600.0
landscaping boots,1000.0
mechanic boots,1000.0
plumber boots,880.0
framer boots,110.0
oilfield boots,110.0
